name,brand,manufacturing_date,expiry_date,price,stock,image_url,section_id
Dc - Sakura Fu,Thoughtbeat,18/08/2022,13/06/2024,271.42,108,http://dummyimage.com/x.png/ff4444/ffffff,12
Pastry - Lemon Danish - Mini,Digitube,20/03/2023,31/05/2024,155.89,69,http://dummyimage.com/x.png/ff4444/ffffff,4
"Pepsi - Diet, 355 Ml",Fiveclub,17/05/2023,03/12/2023,245.72,129,http://dummyimage.com/x.png/ff4444/ffffff,16
Grenadillo,Centidel,24/11/2022,19/03/2024,271.35,177,http://dummyimage.com/x.png/dddddd/000000,16
Container - Hngd Cll Blk 7x7x3,Twitterbridge,14/01/2023,18/11/2024,41.38,153,http://dummyimage.com/x.png/5fa2dd/ffffff,5
Cattail Hearts,Edgeblab,21/02/2023,20/01/2024,233.09,23,http://dummyimage.com/x.png/ff4444/ffffff,5
Table Cloth 81x81 White,Kayveo,30/01/2023,14/07/2024,238.88,116,http://dummyimage.com/x.png/ff4444/ffffff,11
Ocean Spray - Ruby Red,Twitterlist,12/09/2022,05/09/2024,187.2,140,http://dummyimage.com/x.png/ff4444/ffffff,15
Bread - Burger,Topicblab,05/04/2023,22/04/2024,21.07,20,http://dummyimage.com/x.png/dddddd/000000,18
Wine - Magnotta - Pinot Gris Sr,Quatz,24/11/2022,19/05/2024,62.32,92,http://dummyimage.com/x.png/dddddd/000000,1
Wonton Wrappers,Linktype,01/05/2023,03/11/2024,156.94,190,http://dummyimage.com/x.png/dddddd/000000,7
Veal - Loin,Photofeed,08/11/2022,16/08/2024,281.63,112,http://dummyimage.com/x.png/cc0000/ffffff,12
"Potatoes - Yukon Gold, 80 Ct",Vinte,09/05/2023,27/03/2024,256.86,25,http://dummyimage.com/x.png/dddddd/000000,11
Mix Pina Colada,Eayo,04/10/2022,16/11/2023,52.81,121,http://dummyimage.com/x.png/cc0000/ffffff,19
Tea - Honey Green Tea,Demizz,16/07/2023,03/06/2024,128.92,106,http://dummyimage.com/x.png/cc0000/ffffff,17
Cheese - Goat,Babbleopia,15/04/2023,07/01/2024,184.26,74,http://dummyimage.com/x.png/ff4444/ffffff,15
Tea - Herbal Orange Spice,Skyvu,03/06/2023,06/10/2024,34.79,17,http://dummyimage.com/x.png/5fa2dd/ffffff,8
Cookie Double Choco,Gabtype,28/11/2022,01/05/2024,231.46,157,http://dummyimage.com/x.png/cc0000/ffffff,18
Chocolate - Milk Coating,Skipstorm,19/11/2022,08/06/2024,198.5,186,http://dummyimage.com/x.png/5fa2dd/ffffff,6
Mushroom - Lg - Cello,Shufflebeat,17/10/2022,07/11/2023,1.66,154,http://dummyimage.com/x.png/5fa2dd/ffffff,12
"Wine - White, Schroder And Schyl",Brainverse,05/07/2023,28/12/2024,292.2,32,http://dummyimage.com/x.png/5fa2dd/ffffff,17
Lamb Rack - Ontario,Jayo,29/07/2023,21/07/2024,189.9,74,http://dummyimage.com/x.png/ff4444/ffffff,3
Syrup - Monin - Passion Fruit,Riffwire,19/08/2022,11/04/2024,290.07,37,http://dummyimage.com/x.png/dddddd/000000,16
"Cheese - Manchego, Spanish",Jetwire,10/07/2023,02/01/2025,167.15,184,http://dummyimage.com/x.png/5fa2dd/ffffff,4
Lettuce - Radicchio,Roombo,31/01/2023,02/11/2024,39.26,163,http://dummyimage.com/x.png/5fa2dd/ffffff,1
Cinnamon - Stick,Katz,01/04/2023,29/10/2024,145.33,23,http://dummyimage.com/x.png/5fa2dd/ffffff,15
Lobak,Demizz,20/06/2023,06/12/2023,180.86,182,http://dummyimage.com/x.png/ff4444/ffffff,3
Table Cloth 54x54 Colour,Buzzshare,17/04/2023,09/03/2024,20.89,70,http://dummyimage.com/x.png/ff4444/ffffff,18
Mix - Cappucino Cocktail,Thoughtbridge,14/12/2022,18/12/2023,196.6,83,http://dummyimage.com/x.png/ff4444/ffffff,12
White Fish - Filets,Yambee,25/05/2023,19/02/2024,125.87,52,http://dummyimage.com/x.png/dddddd/000000,20
Liquid Aminios Acid - Braggs,Fiveclub,13/09/2022,14/08/2024,240.89,105,http://dummyimage.com/x.png/cc0000/ffffff,10
Bread - Rosemary Focaccia,Dabfeed,30/06/2023,17/01/2025,122.71,133,http://dummyimage.com/x.png/ff4444/ffffff,15
Goat - Leg,Lazz,15/06/2023,06/03/2024,51.36,118,http://dummyimage.com/x.png/cc0000/ffffff,18
Puree - Guava,Brainlounge,28/06/2023,12/02/2024,2.46,179,http://dummyimage.com/x.png/5fa2dd/ffffff,16
"Wine - White, Schroder And Schyl",Fanoodle,12/07/2023,11/09/2024,51.82,89,http://dummyimage.com/x.png/cc0000/ffffff,18
Muffin - Carrot Individual Wrap,Youopia,20/02/2023,31/01/2024,83.29,64,http://dummyimage.com/x.png/cc0000/ffffff,4
"Nut - Cashews, Whole, Raw",Fiveclub,27/10/2022,19/05/2024,212.97,15,http://dummyimage.com/x.png/cc0000/ffffff,18
"Wine - White, Pinot Grigio",Oloo,11/04/2023,30/07/2024,222.75,172,http://dummyimage.com/x.png/5fa2dd/ffffff,3
Coriander - Ground,Bluezoom,24/05/2023,30/01/2024,43.59,115,http://dummyimage.com/x.png/ff4444/ffffff,7
Beans - Fine,Skilith,24/08/2022,21/06/2024,161.68,161,http://dummyimage.com/x.png/ff4444/ffffff,10
Bouillion - Fish,Aibox,06/10/2022,28/12/2024,281.04,82,http://dummyimage.com/x.png/5fa2dd/ffffff,20
Hummus - Spread,Devify,13/03/2023,23/04/2024,49.78,122,http://dummyimage.com/x.png/dddddd/000000,15
Pop Shoppe Cream Soda,Yoveo,22/04/2023,03/01/2025,14.69,8,http://dummyimage.com/x.png/5fa2dd/ffffff,14
Carbonated Water - Cherry,Fiveclub,18/10/2022,03/01/2024,106.81,171,http://dummyimage.com/x.png/cc0000/ffffff,8
"Wine - White, Mosel Gold",Realcube,11/09/2022,16/08/2024,228.92,55,http://dummyimage.com/x.png/cc0000/ffffff,2
Wine - Hardys Bankside Shiraz,Einti,27/08/2022,30/11/2023,120.53,70,http://dummyimage.com/x.png/5fa2dd/ffffff,4
Oil - Pumpkinseed,Gigashots,11/02/2023,14/11/2024,166.0,183,http://dummyimage.com/x.png/cc0000/ffffff,18
Oil - Sunflower,Twiyo,10/02/2023,17/09/2024,207.12,64,http://dummyimage.com/x.png/dddddd/000000,4
Bandage - Finger Cots,Blogtag,07/04/2023,07/01/2024,77.83,49,http://dummyimage.com/x.png/dddddd/000000,1
Wine - Fino Tio Pepe Gonzalez,Zoonder,24/11/2022,08/06/2024,8.16,38,http://dummyimage.com/x.png/cc0000/ffffff,18
Coffee - Hazelnut Cream,Livetube,01/09/2022,16/11/2024,33.89,169,http://dummyimage.com/x.png/cc0000/ffffff,16
"Pork - Ham, Virginia",Skipfire,12/11/2022,05/01/2025,160.09,137,http://dummyimage.com/x.png/ff4444/ffffff,1
Tart - Pecan Butter Squares,Bubblebox,06/01/2023,10/04/2024,270.97,58,http://dummyimage.com/x.png/5fa2dd/ffffff,20
Sprouts - Pea,Gabtune,14/04/2023,18/02/2024,169.31,183,http://dummyimage.com/x.png/5fa2dd/ffffff,6
Potatoes - Fingerling 4 Oz,Podcat,04/07/2023,25/09/2024,133.33,123,http://dummyimage.com/x.png/cc0000/ffffff,5
Pepper - Gypsy Pepper,Devbug,18/08/2022,20/01/2025,109.43,31,http://dummyimage.com/x.png/cc0000/ffffff,4
Mace Ground,Skipfire,08/10/2022,22/01/2024,221.11,119,http://dummyimage.com/x.png/5fa2dd/ffffff,13
Mcguinness - Blue Curacao,Gabtype,30/07/2023,17/03/2024,4.82,72,http://dummyimage.com/x.png/5fa2dd/ffffff,4
Juice - Prune,Oozz,01/10/2022,07/11/2023,282.4,111,http://dummyimage.com/x.png/dddddd/000000,12
"Shrimp - Baby, Warm Water",Tazzy,09/05/2023,04/06/2024,293.61,119,http://dummyimage.com/x.png/dddddd/000000,18
"Cherries - Maraschino,jar",Tazzy,18/08/2022,28/11/2023,129.8,84,http://dummyimage.com/x.png/ff4444/ffffff,15
Slt - Individual Portions,Wikizz,31/08/2022,13/12/2024,175.2,84,http://dummyimage.com/x.png/ff4444/ffffff,3
Muffin Mix - Morning Glory,Lazz,09/08/2022,09/01/2025,161.82,72,http://dummyimage.com/x.png/dddddd/000000,15
Compound - Mocha,Rhyloo,16/07/2023,24/11/2023,13.1,134,http://dummyimage.com/x.png/ff4444/ffffff,6
Flour - Pastry,Zoomlounge,05/05/2023,19/07/2024,60.82,63,http://dummyimage.com/x.png/5fa2dd/ffffff,15
"Bread - White, Unsliced",Yombu,21/10/2022,11/01/2024,273.95,58,http://dummyimage.com/x.png/cc0000/ffffff,7
Barley - Pearl,Flipstorm,05/06/2023,12/07/2024,120.64,92,http://dummyimage.com/x.png/cc0000/ffffff,18
Shrimp - Tiger 21/25,Oyondu,22/07/2023,06/12/2023,199.35,166,http://dummyimage.com/x.png/cc0000/ffffff,10
Allspice - Jamaican,Kwimbee,18/02/2023,18/02/2024,199.99,3,http://dummyimage.com/x.png/5fa2dd/ffffff,13
Appetizer - Tarragon Chicken,Devpoint,18/04/2023,04/01/2025,157.95,128,http://dummyimage.com/x.png/ff4444/ffffff,17
Sachet,Oyope,08/03/2023,29/01/2025,169.39,143,http://dummyimage.com/x.png/dddddd/000000,19
"Lemonade - Kiwi, 591 Ml",Realmix,09/07/2023,17/01/2025,158.31,44,http://dummyimage.com/x.png/ff4444/ffffff,11
Toothpick Frilled,Skaboo,12/02/2023,11/01/2024,108.58,184,http://dummyimage.com/x.png/cc0000/ffffff,1
Table Cloth 53x53 White,Linkbridge,30/09/2022,22/06/2024,289.67,166,http://dummyimage.com/x.png/dddddd/000000,17
Mortadella,Yodoo,09/05/2023,11/12/2023,160.53,31,http://dummyimage.com/x.png/dddddd/000000,6
Wine - Sake,Buzzbean,04/09/2022,01/03/2024,256.12,5,http://dummyimage.com/x.png/dddddd/000000,8
"Cheese - Brie, Cups 125g",Quinu,05/11/2022,04/07/2024,272.0,95,http://dummyimage.com/x.png/cc0000/ffffff,16
Seabream Whole Farmed,Digitube,10/10/2022,17/01/2024,206.86,92,http://dummyimage.com/x.png/ff4444/ffffff,17
Tea - Camomele,Trilia,06/10/2022,29/05/2024,215.56,2,http://dummyimage.com/x.png/ff4444/ffffff,19
Nestea - Iced Tea,Flipopia,22/01/2023,06/07/2024,277.77,21,http://dummyimage.com/x.png/dddddd/000000,9
"Beef - Ox Tongue, Pickled",Reallinks,19/07/2023,05/10/2024,255.6,196,http://dummyimage.com/x.png/ff4444/ffffff,17
Sping Loaded Cup Dispenser,Trupe,03/12/2022,11/01/2025,73.03,53,http://dummyimage.com/x.png/cc0000/ffffff,8
Chips - Miss Vickies,Flashspan,20/06/2023,03/04/2024,36.61,55,http://dummyimage.com/x.png/cc0000/ffffff,16
Thyme - Dried,Mymm,09/11/2022,01/12/2024,251.31,103,http://dummyimage.com/x.png/cc0000/ffffff,15
Table Cloth 62x114 Colour,Meevee,21/02/2023,26/10/2024,128.9,96,http://dummyimage.com/x.png/5fa2dd/ffffff,7
"Artichokes - Knobless, White",Twimm,05/04/2023,07/02/2024,154.76,185,http://dummyimage.com/x.png/cc0000/ffffff,6
Spice - Pepper Portions,Muxo,08/01/2023,14/02/2024,140.2,147,http://dummyimage.com/x.png/5fa2dd/ffffff,4
Wine - Trimbach Pinot Blanc,Centizu,03/12/2022,30/05/2024,156.27,142,http://dummyimage.com/x.png/ff4444/ffffff,19
Table Cloth 120 Round White,Dynazzy,07/07/2023,26/11/2023,44.69,115,http://dummyimage.com/x.png/5fa2dd/ffffff,6
Turnip - White,Flashset,30/09/2022,04/08/2024,246.7,154,http://dummyimage.com/x.png/ff4444/ffffff,11
Wine - Duboeuf Beaujolais,Devpoint,14/07/2023,07/12/2024,33.53,4,http://dummyimage.com/x.png/5fa2dd/ffffff,20
Wonton Wrappers,Kwilith,02/09/2022,03/09/2024,25.06,41,http://dummyimage.com/x.png/cc0000/ffffff,13
Lighter - Bbq,Fanoodle,07/04/2023,21/09/2024,8.64,142,http://dummyimage.com/x.png/cc0000/ffffff,4
Beef - Salted,Feedfish,16/05/2023,03/12/2023,147.09,192,http://dummyimage.com/x.png/5fa2dd/ffffff,3
Bag - Clear 7 Lb,Voonte,23/04/2023,16/09/2024,57.47,192,http://dummyimage.com/x.png/ff4444/ffffff,4
Tofu - Firm,Einti,16/12/2022,12/03/2024,58.73,77,http://dummyimage.com/x.png/dddddd/000000,15
Spinach - Spinach Leaf,Bluezoom,26/06/2023,28/09/2024,146.22,141,http://dummyimage.com/x.png/cc0000/ffffff,20
Nantucket - Carrot Orange,Fadeo,09/02/2023,16/11/2024,237.1,139,http://dummyimage.com/x.png/dddddd/000000,18
"Veal - Leg, Provimi - 50 Lb Max",Zooxo,07/02/2023,15/01/2025,3.05,182,http://dummyimage.com/x.png/dddddd/000000,9
"Tortillas - Flour, 10",Skinder,29/08/2022,10/05/2024,92.41,60,http://dummyimage.com/x.png/5fa2dd/ffffff,7
Honey - Lavender,Aibox,23/09/2022,02/01/2025,36.37,15,http://dummyimage.com/x.png/5fa2dd/ffffff,10
Wine - Touraine Azay - Le - Rideau,Linkbuzz,25/08/2022,01/01/2024,233.93,79,http://dummyimage.com/x.png/ff4444/ffffff,20
Chocolate Bar - Reese Pieces,Youtags,10/02/2023,02/11/2024,132.4,87,http://dummyimage.com/x.png/5fa2dd/ffffff,5
Arizona - Green Tea,Einti,04/09/2022,26/07/2024,176.91,97,http://dummyimage.com/x.png/cc0000/ffffff,14
Longan,Jaxworks,18/08/2022,14/03/2024,166.24,103,http://dummyimage.com/x.png/ff4444/ffffff,11
"Glass - Wine, Plastic, Clear 5 Oz",Pixonyx,28/08/2022,21/02/2024,247.51,84,http://dummyimage.com/x.png/dddddd/000000,15
Cookies Cereal Nut,Quamba,04/08/2023,11/12/2023,34.52,120,http://dummyimage.com/x.png/5fa2dd/ffffff,13
Wine - Cava Aria Estate Brut,Devcast,24/08/2022,03/05/2024,77.66,38,http://dummyimage.com/x.png/5fa2dd/ffffff,11
The Pop Shoppe - Cream Soda,Twitterbridge,02/10/2022,29/11/2024,141.23,93,http://dummyimage.com/x.png/cc0000/ffffff,13
Beer - Camerons Cream Ale,Kimia,10/05/2023,03/12/2024,29.38,117,http://dummyimage.com/x.png/5fa2dd/ffffff,18
Carbonated Water - Orange,Meetz,21/09/2022,24/04/2024,166.22,16,http://dummyimage.com/x.png/cc0000/ffffff,18
Milk - 1%,Topicshots,09/10/2022,13/11/2024,204.77,144,http://dummyimage.com/x.png/cc0000/ffffff,18
Muffin Orange Individual,Topicshots,10/06/2023,10/08/2024,188.15,95,http://dummyimage.com/x.png/cc0000/ffffff,2
Chutney Sauce - Mango,Twitterbeat,29/10/2022,31/03/2024,280.39,36,http://dummyimage.com/x.png/cc0000/ffffff,14
Tea Peppermint,Avaveo,03/05/2023,21/11/2023,200.48,84,http://dummyimage.com/x.png/cc0000/ffffff,4
Wine - Ice Wine,Skyndu,08/03/2023,08/01/2024,152.25,21,http://dummyimage.com/x.png/dddddd/000000,14
Cotton Wet Mop 16 Oz,Eidel,16/09/2022,07/02/2024,54.72,34,http://dummyimage.com/x.png/cc0000/ffffff,4
Tea Peppermint,Thoughtsphere,17/12/2022,26/03/2024,272.37,132,http://dummyimage.com/x.png/5fa2dd/ffffff,11
Sugar - Icing,Avavee,21/03/2023,31/07/2024,263.98,3,http://dummyimage.com/x.png/ff4444/ffffff,14
Apricots Fresh,Camimbo,19/01/2023,06/02/2024,155.36,8,http://dummyimage.com/x.png/ff4444/ffffff,11
"Lamb - Shoulder, Boneless",Twitterlist,27/04/2023,08/04/2024,40.71,82,http://dummyimage.com/x.png/ff4444/ffffff,3
Wine - Hardys Bankside Shiraz,Fatz,23/06/2023,27/12/2024,141.18,155,http://dummyimage.com/x.png/5fa2dd/ffffff,1
"Quail - Whole, Boneless",Zoomlounge,24/05/2023,24/06/2024,234.18,138,http://dummyimage.com/x.png/dddddd/000000,18
"Wine - White, French Cross",Twimbo,03/03/2023,23/07/2024,44.17,192,http://dummyimage.com/x.png/5fa2dd/ffffff,4
Cheese - Wine,Yodoo,23/12/2022,23/09/2024,69.16,112,http://dummyimage.com/x.png/dddddd/000000,9
Spring Roll Wrappers,Twinder,11/11/2022,15/09/2024,51.16,18,http://dummyimage.com/x.png/cc0000/ffffff,18
Guava,Jabberbean,10/12/2022,30/11/2023,156.31,34,http://dummyimage.com/x.png/ff4444/ffffff,18
"Wine - Red, Black Opal Shiraz",Feedspan,26/02/2023,03/08/2024,68.45,169,http://dummyimage.com/x.png/5fa2dd/ffffff,4
"Glass - Wine, Plastic, Clear 5 Oz",Jabberstorm,22/05/2023,07/09/2024,266.77,198,http://dummyimage.com/x.png/cc0000/ffffff,8
"Leeks - Baby, White",Ntags,31/07/2023,05/11/2023,141.69,86,http://dummyimage.com/x.png/ff4444/ffffff,4
Bread - Kimel Stick Poly,Livetube,06/05/2023,05/12/2023,231.28,112,http://dummyimage.com/x.png/cc0000/ffffff,16
Compound - Mocha,Midel,04/03/2023,09/05/2024,221.94,128,http://dummyimage.com/x.png/dddddd/000000,1
Russian Prince,Blogpad,27/05/2023,17/11/2024,237.41,83,http://dummyimage.com/x.png/dddddd/000000,4
Paper - Brown Paper Mini Cups,Gabtype,23/07/2023,21/01/2025,183.28,21,http://dummyimage.com/x.png/ff4444/ffffff,16
Bok Choy - Baby,Skiptube,07/07/2023,03/04/2024,196.37,24,http://dummyimage.com/x.png/dddddd/000000,15
"Veal - Tenderloin, Untrimmed",Dynabox,06/05/2023,05/01/2024,284.78,104,http://dummyimage.com/x.png/5fa2dd/ffffff,18
Wine - Spumante Bambino White,Livefish,10/02/2023,09/11/2023,269.71,200,http://dummyimage.com/x.png/ff4444/ffffff,1
Sauce - Oyster,Jabbertype,10/09/2022,21/06/2024,241.25,94,http://dummyimage.com/x.png/dddddd/000000,2
Cheese - St. Paulin,Demizz,19/09/2022,24/04/2024,125.32,63,http://dummyimage.com/x.png/ff4444/ffffff,4
Cookie Chocolate Chip With,Quamba,29/03/2023,12/01/2025,56.49,131,http://dummyimage.com/x.png/dddddd/000000,6
Mint - Fresh,Skippad,19/07/2023,14/08/2024,122.28,4,http://dummyimage.com/x.png/ff4444/ffffff,10
Fennel - Seeds,Mydeo,26/06/2023,07/07/2024,202.54,84,http://dummyimage.com/x.png/cc0000/ffffff,10
Truffle Cups - Red,Zoomzone,18/08/2022,12/02/2024,196.35,68,http://dummyimage.com/x.png/cc0000/ffffff,20
Jack Daniels,Photofeed,20/12/2022,02/11/2024,45.12,85,http://dummyimage.com/x.png/dddddd/000000,7
French Pastry - Mini Chocolate,Ainyx,11/05/2023,26/01/2025,182.35,25,http://dummyimage.com/x.png/5fa2dd/ffffff,3
Hagen Daza - Dk Choocolate,Flashset,17/11/2022,13/11/2023,29.36,179,http://dummyimage.com/x.png/cc0000/ffffff,11
Bagelers - Cinn / Brown Sugar,Tagfeed,22/07/2023,10/12/2023,142.19,64,http://dummyimage.com/x.png/dddddd/000000,2
Table Cloth 91x91 Colour,Oyoba,30/08/2022,30/03/2024,199.39,88,http://dummyimage.com/x.png/ff4444/ffffff,2
Tuna - Salad Premix,Agimba,11/10/2022,18/11/2023,268.64,149,http://dummyimage.com/x.png/cc0000/ffffff,3
Orange - Tangerine,Babbleblab,03/04/2023,09/11/2023,96.75,90,http://dummyimage.com/x.png/5fa2dd/ffffff,4
Sole - Iqf,Mybuzz,10/10/2022,12/01/2025,280.37,122,http://dummyimage.com/x.png/dddddd/000000,12
"Water, Tap",Omba,11/05/2023,10/09/2024,80.16,133,http://dummyimage.com/x.png/cc0000/ffffff,20
Butcher Twine 4r,Buzzster,23/08/2022,04/04/2024,56.47,97,http://dummyimage.com/x.png/ff4444/ffffff,3
Parasol Pick Stir Stick,Topdrive,24/05/2023,16/12/2023,263.54,29,http://dummyimage.com/x.png/dddddd/000000,7
Gingerale - Diet - Schweppes,Cogidoo,10/09/2022,04/07/2024,122.11,56,http://dummyimage.com/x.png/dddddd/000000,9
"Pesto - Primerba, Paste",Vitz,29/11/2022,09/04/2024,107.55,140,http://dummyimage.com/x.png/5fa2dd/ffffff,13
"Nut - Almond, Blanched, Whole",Innojam,17/09/2022,22/12/2023,131.52,71,http://dummyimage.com/x.png/5fa2dd/ffffff,1
Jolt Cola - Red Eye,Zoomcast,02/02/2023,01/01/2024,25.06,138,http://dummyimage.com/x.png/ff4444/ffffff,14
Pear - Halves,Skinder,27/03/2023,28/06/2024,202.75,144,http://dummyimage.com/x.png/dddddd/000000,4
Coffee Cup 8oz 5338cd,Topiclounge,25/02/2023,08/07/2024,216.16,177,http://dummyimage.com/x.png/ff4444/ffffff,15
Wine - Prosecco Valdobienne,Avamba,28/01/2023,15/12/2024,243.3,160,http://dummyimage.com/x.png/cc0000/ffffff,2
Eggs - Extra Large,Topicblab,13/06/2023,09/03/2024,226.61,30,http://dummyimage.com/x.png/ff4444/ffffff,18
Wine - Rosso Toscano Igt,Rhyzio,13/06/2023,10/03/2024,195.2,104,http://dummyimage.com/x.png/dddddd/000000,10
Ginger - Fresh,Avamm,17/03/2023,07/01/2025,151.13,91,http://dummyimage.com/x.png/ff4444/ffffff,18
"Bread - Pumpernickle, Rounds",Camido,25/01/2023,02/11/2023,108.34,23,http://dummyimage.com/x.png/5fa2dd/ffffff,6
Pork Loin Cutlets,Blogtags,26/09/2022,20/02/2024,175.04,98,http://dummyimage.com/x.png/cc0000/ffffff,2
Bacardi Breezer - Strawberry,Meezzy,04/10/2022,03/10/2024,223.22,10,http://dummyimage.com/x.png/5fa2dd/ffffff,14
Yokaline,Innotype,12/09/2022,29/04/2024,85.36,79,http://dummyimage.com/x.png/5fa2dd/ffffff,7
"Lamb - Whole, Fresh",Eazzy,04/08/2023,13/09/2024,81.51,107,http://dummyimage.com/x.png/5fa2dd/ffffff,12
Hummus - Spread,Snaptags,04/05/2023,24/12/2024,232.24,120,http://dummyimage.com/x.png/dddddd/000000,7
